Fc,Ra,Ront
25.2195,1.851,166.6557
34.8081,1.8666,123.9033
40.1323,4.0483,151.2919
45.6892,4.9744,112.9433
29.2456,2.0304,139.2281
29.584,2.3512,56.779
39.1507,4.2637,155.6838
39.7759,4.3976,151.3638
35.7315,2.4299,133.3462
37.9998,3.2327,102.059
23.8947,1.5926,127.6019
47.3517,5.9698,163.0414
34.7012,2.6594,155.2367
35.1839,2.7924,142.111
32.8419,2.8823,176.4424
39.0982,2.9361,128.4433
35.7232,2.5901,176.2543
45.0545,2.6391,118.0752
36.2576,2.9994,106.9362
36.0251,3.0976,130.0929
38.1783,2.8161,122.7048
42.0321,2.5017,162.5833
32.6456,1.9619,113.1419
44.3518,3.245,165.7171
37.6086,1.9418,76.3105
41.4559,4.0673,109.9757
29.2049,2.3204,54.8271
41.9976,4.6724,113.0805
33.538,2.083,167.8267
35.5329,2.7096,67.961
